"Unixtimestamp","IotaWatt:totalenergy"
1594296000,6432.094
1594299600,6433.597
1594303200,6435.168
1594306800,6438.301
1594310400,6439.938
1594314000,6442.880
1594317600,6446.070
1594321200,6449.998
1594324800,6454.419
1594328400,6458.605
1594332000,6463.467
1594335600,6467.824
1594339200,6471.209
1594342800,6474.565
1594346400,6477.527
1594350000,6480.403
1594353600,6482.352
1594357200,6483.894
1594360800,6485.191
1594364400,6486.673
1594368000,6487.819
1594371600,6489.133
1594375200,6491.532
1594378800,6492.961
1594382400,6493.960
1594386000,6495.100
1594389600,6496.101
1594393200,6496.907
1594396800,6497.718
1594400400,6498.530
1594404000,6499.328
1594407600,6500.154
1594411200,6501.475
1594414800,6502.936
1594418400,6505.103
1594422000,6507.130
1594425600,6509.007
1594429200,6510.616
1594432800,6511.877
1594436400,6513.111
1594440000,6514.104
1594443600,6515.076
1594447200,6516.132
1594450800,6517.307
1594454400,6518.467
1594458000,6519.802
1594461600,6521.125
1594465200,6522.320
1594468800,6523.647
1594472400,6524.756
1594476000,6525.641
1594479600,6526.578
1594483200,6528.209
1594486800,6529.761
1594490400,6531.622
1594494000,6533.863
1594497600,6536.559
1594501200,6539.549
1594504800,6541.998
1594508400,6544.080
1594512000,6545.673
1594515600,6547.346
1594519200,6548.806
1594522800,6550.150
1594526400,6551.264
1594530000,6552.311
1594533600,6553.263
1594537200,6553.968
1594540800,6554.847
1594544400,6555.962
1594548000,6557.051
1594551600,6558.177
1594555200,6559.327
1594558800,6560.633
1594562400,6561.807
1594566000,6562.778
1594569600,6564.207
1594573200,6565.784
1594576800,6567.951
1594580400,6569.911
1594584000,6572.293
1594587600,6574.772
1594591200,6576.816
1594594800,6578.655
1594598400,6580.476
1594602000,6581.917
1594605600,6583.362
1594609200,6584.537
1594612800,6585.627
1594616400,6586.458
1594620000,6587.401
1594623600,6588.337
1594627200,6589.234
1594630800,6590.547
1594634400,6591.647
1594638000,6592.702
1594641600,6593.820
1594645200,6595.005
1594648800,6596.120
1594652400,6597.176
1594656000,6598.403
1594659600,6599.971
1594663200,6601.978
1594666800,6604.192
1594670400,6606.864
1594674000,6609.745
1594677600,6612.391
1594681200,6614.633
1594684800,6616.668
1594688400,6618.463
1594692000,6619.909
1594695600,6621.268
1594699200,6622.452
1594702800,6623.199
1594706400,6624.055
1594710000,6625.070
1594713600,6625.798
1594717200,6627.008
1594720800,6628.172
1594724400,6629.362
1594728000,6630.621
1594731600,6631.837
1594735200,6633.124
1594738800,6634.454
1594742400,6635.557
1594746000,6637.047
1594749600,6639.066
1594753200,6641.220
1594756800,6643.822
1594760400,6646.803
1594764000,6649.693
1594767600,6651.925
1594771200,6653.737
1594774800,6655.332
1594778400,6656.870
1594782000,6658.125
1594785600,6659.073
1594789200,6660.035
1594792800,6661.069
1594796400,6661.920
1594800000,6662.843
1594803600,6663.728
1594807200,6664.887
1594810800,6666.008
1594814400,6667.078
1594818000,6668.379
1594821600,6669.681
1594825200,6670.673
1594828800,6671.954
1594832400,6673.625
1594836000,6675.603
1594839600,6677.829
1594843200,6680.030
1594846800,6682.888
1594850400,6685.542
1594854000,6687.796
1594857600,6689.765
1594861200,6691.664
1594864800,6693.331
1594868400,6694.522
1594872000,6695.600
1594875600,6696.894
1594879200,6697.785
1594882800,6698.851
1594886400,6699.706
1594890000,6700.816
1594893600,6702.170
1594897200,6703.434
1594900800,6704.674
1594904400,6705.903
1594908000,6707.155
1594911600,6708.394
1594915200,6709.604
1594918800,6711.103
1594922400,6712.596
1594926000,6714.649
1594929600,6716.918
1594933200,6719.062
1594936800,6721.463
1594940400,6723.570
1594944000,6725.493
1594947600,6726.968
1594951200,6728.557
1594954800,6729.961
1594958400,6731.163
1594962000,6732.162
1594965600,6733.217
1594969200,6734.136
1594972800,6735.050
1594976400,6735.832
1594980000,6736.996
1594983600,6738.208
1594987200,6739.554
1594990800,6740.931
1594994400,6742.217
1594998000,6744.151
1595001600,6745.990
1595005200,6747.951
1595008800,6750.387
1595012400,6753.375
1595016000,6756.075
1595019600,6759.018
1595023200,6761.908
1595026800,6764.580
1595030400,6767.006
1595034000,6768.982
1595037600,6770.724
1595041200,6772.586
1595044800,6773.985
1595048400,6775.271
1595052000,6776.625
1595055600,6777.827
1595059200,6778.943
1595062800,6780.164
1595066400,6781.163
1595070000,6782.368
1595073600,6783.641
1595077200,6784.896
1595080800,6786.617
1595084400,6788.746
1595088000,6790.851
1595091600,6795.979
1595095200,6800.896
1595098800,6805.439
1595102400,6809.877
1595106000,6814.559
1595109600,6818.338
1595113200,6822.889
1595116800,6826.055
1595120400,6829.000
1595124000,6831.948
1595127600,6834.682
1595131200,6837.211
1595134800,6839.755
1595138400,6841.885
1595142000,6843.645
1595145600,6845.071
1595149200,6846.373
1595152800,6847.820
1595156400,6849.731
1595160000,6853.569
1595163600,6856.495
1595167200,6859.186
1595170800,6863.294
1595174400,6868.199
1595178000,6875.289
1595181600,6878.848
1595185200,6883.964
1595188800,6889.299
1595192400,6894.145
1595196000,6897.896
1595199600,6901.494
1595203200,6905.319
1595206800,6908.978
1595210400,6911.855
1595214000,6914.489
1595217600,6917.059
1595221200,6919.968
1595224800,6922.408
